work_id,mp_id,mp_name,state,constituency,district,house,year,category,fund_received_cr,sanctioned_amount_cr,final_expenditure_cr,sanction_date,status,completion_date,implementing_agency,sc_st_area,data_source,utilization_pct
REAL-25,MP0025,Shri. Sarbananda Sonowal,Assam,Dibrugarh,Dibrugarh,Parliamentary Member,2025,All recommended works,4.5,1.96,1.72,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,38.2
REAL-26,MP0026,Shri. Bhubaneswar Kalita,Assam,Kamrup,Kamrup,Parliamentary Member,2025,All recommended works,7.0,4.5,2.82,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,40.3
REAL-27,MP0027,Bhubaneswar Kalita,Assam,Kamrup,Kamrup,Parliamentary Member,2025,All recommended works,51.0,52.19,49.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,96.1
REAL-28,MP0028,Shri. Kamakhya Prasad Tasa,Assam,Jorhat,Jorhat,Parliamentary Member,2025,All recommended works,7.0,4.88,3.59,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,51.3
REAL-29,MP0029,Manoj Kumar Jha,Bihar,Saharsa,Saharsa,Parliamentary Member,2025,All recommended works,12.0,14.1,9.95,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,82.9
REAL-30,MP0030,Satish Chandra Dubey,Bihar,Bettiah (W.Champaran),Bettiah (W.Champaran),Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-31,MP0031,Shri. Sushil Kumar Modi,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,4.5,2.99,1.84,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,40.9
REAL-32,MP0032,Faiyaz Ahmad,Bihar,Madhubani,Madhubani,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-33,MP0033,Khiru Mahto,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.5,2.21,0.75,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,30.0
REAL-34,MP0034,Shambhu Sharan Patel,Bihar,Shekhpura,Shekhpura,Parliamentary Member,2025,All recommended works,2.5,0.0,0.05,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,2.0
REAL-35,MP0035,Bashistha Narain Singh,Bihar,Buxar,Buxar,Parliamentary Member,2025,All recommended works,14.5,16.02,12.28,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,84.7
REAL-36,MP0036,Akhilesh Prasad Singh,Bihar,Mothihari (E.Champaran),Mothihari (E.Champaran),Parliamentary Member,2025,All recommended works,10.0,7.29,7.06,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,70.6
REAL-37,MP0037,Shri. Amrendra Dhari Singh,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.0,0.75,0.75,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,37.5
REAL-38,MP0038,Shri. Ram Nath Thakur,Bihar,Samastipur,Samastipur,Parliamentary Member,2025,All recommended works,7.0,5.9,3.51,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,50.1
REAL-39,MP0039,Shri. Harivansh,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-40,MP0040,Shri. Ram Chandra Prasad Singh,Bihar,,,Parliamentary Member,2025,All recommended works,0.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0
REAL-41,MP0041,Shri. Ram Vilas Paswan,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.5,2.12,2.12,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,84.8
REAL-42,MP0042,Misha Bharti,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,19.5,23.7,17.12,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,87.8
REAL-43,MP0043,Shri. Satish Chandra Dubey,Bihar,Pashchim Champaran,Pashchim Champaran,Parliamentary Member,2025,All recommended works,7.0,7.5,3.78,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,54.0
REAL-44,MP0044,Mahendra Prasad,Bihar,Jehanabad,Jehanabad,Parliamentary Member,2025,All recommended works,12.0,17.61,11.67,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,97.2
REAL-45,MP0045,Shri. Vivek Thakur,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,4.5,3.32,1.67,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,37.1
REAL-46,MP0046,Shri. Prem Chand Gupta,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-47,MP0047,Sh. Gopal Narayan Singh,Bihar,Rohtas,Rohtas,Parliamentary Member,2025,All recommended works,19.5,22.15,19.67,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,100.9
REAL-48,MP0048,Ahmad Ashfaque Karim,Bihar,Katihar,Katihar,Parliamentary Member,2025,All recommended works,10.0,7.48,6.74,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,67.4
REAL-49,MP0049,Aneel Prasad Hegde,Bihar,Patna,Patna,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-50,MP0042,Misha Bharti,Bihar,,,Parliamentary Member,2025,All recommended works,0.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0
REAL-51,MP0050,Saroj Pandey,Chhattisgarh,Durg,Durg,Parliamentary Member,2025,All recommended works,7.5,5.59,3.14,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,41.9
REAL-52,MP0051,Sh. Ram Vichar Netam,Chhattisgarh,Balrampur,Balrampur,Parliamentary Member,2025,All recommended works,20.0,28.98,20.69,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,103.5
REAL-53,MP0052,Chhaya Verma,Chhattisgarh,Raipur,Raipur,Parliamentary Member,2025,All recommended works,22.0,27.76,20.99,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,95.4
REAL-54,MP0053,Shri. K.t.s Tulsi,Chhattisgarh,Bilaspur,Bilaspur,Parliamentary Member,2025,All recommended works,7.0,7.41,3.24,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,46.3
REAL-55,MP0054,Rajeev Shukla,Chhattisgarh,Raipur,Raipur,Parliamentary Member,2025,All recommended works,2.5,0.0,0.05,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,2.0
REAL-56,MP0055,Ranjeet Ranjan,Chhattisgarh,Dhamtari,Dhamtari,Parliamentary Member,2025,All recommended works,2.5,3.11,0.62,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,24.8
REAL-57,MP0056,Phulo Devi Netam,Chhattisgarh,Kondagaon,Kondagaon,Parliamentary Member,2025,All recommended works,4.5,6.11,3.24,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,72.0
REAL-58,MP0057,Narain Das Gupta,Delhi,Commissioner South Delhi Municipal Corporation,Commissioner South Delhi Municipal Corporation,Parliamentary Member,2025,All recommended works,12.0,14.62,8.93,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,74.4
REAL-59,MP0058,Sushil Gupta,Delhi,Commissioner North Delhi Municipal Corporation,Commissioner North Delhi Municipal Corporation,Parliamentary Member,2025,All recommended works,5.0,8.7,3.04,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,60.8
REAL-60,MP0059,Shri. Sanjay Singh,Delhi,Commissioner South Delhi Municipal Corporation,Commissioner South Delhi Municipal Corporation,Parliamentary Member,2025,All recommended works,7.5,19.04,4.15,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,55.3
REAL-61,MP0060,Vinay P. Tendulkar,Goa,South Goa,South Goa,Parliamentary Member,2025,All recommended works,12.5,32.46,8.44,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,67.5
REAL-62,MP0061,Shri. Dineshchandra Jemalbhai Anavadiya,Gujarat,Banaskantha,Banaskantha,Parliamentary Member,2025,All recommended works,2.0,2.19,0.97,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,48.5
REAL-63,MP0062,Shri. Jugalsinh Mathurji Lokhandwala,Gujarat,Mahesana,Mahesana,Parliamentary Member,2025,All recommended works,4.5,8.22,2.12,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,47.1
REAL-64,MP0063,Shri. Abhay Ganpatray Bhardwaj,Gujarat,,,Parliamentary Member,2025,All recommended works,0.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0
