mp_id,mp_name,state,constituency,district,house,entitlement_cr,goi_release_cr,unreleased_cr,tenure,nodal_district,data_source
MP0031,Shri. Sushil Kumar Modi,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0032,Faiyaz Ahmad,Bihar,Madhubani,Madhubani,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0033,Khiru Mahto,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0034,Shambhu Sharan Patel,Bihar,Shekhpura,Shekhpura,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0035,Bashistha Narain Singh,Bihar,Buxar,Buxar,Parliamentary Member,22.0,12.0,10.0,03.04.2018 to 02.04.2024,Buxar,RS_Session_259_AU_2235_1.csv
MP0036,Akhilesh Prasad Singh,Bihar,Mothihari (E.Champaran),East Champaran (Motihari),Parliamentary Member,22.0,7.5,14.5,03.04.2018 to 02.04.2024,East Champaran (Motihari),RS_Session_259_AU_2235_1.csv
MP0037,Shri. Amrendra Dhari Singh,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0038,Shri. Ram Nath Thakur,Bihar,Samastipur,Samastipur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0039,Shri. Harivansh,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0040,Shri. Ram Chandra Prasad Singh,Bihar,nan,nan,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0041,Shri. Ram Vilas Paswan,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0042,Misha Bharti,Bihar,Patna,Patna,Parliamentary Member,22.0,10.0,12.0,08.07.2016 to 07.07.2022,Patna,RS_Session_259_AU_2235_1.csv
MP0043,Shri. Satish Chandra Dubey,Bihar,Pashchim Champaran,Pashchim Champaran,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0044,Mahendra Prasad,Bihar,Jehanabad,Jehanabad,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
