S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
62,Dhiraj Prasad Sahu,Jharkhand,Lohardaga,04.05.2018 to 03.05.2024,22,10,12
63,Mahesh Poddar,Jharkhand,Ranchi,08.07.2016 to 07.07.2022,22,17.5,4.5
64,Mukhtar Abbas Naqvi,Jharkhand,Ranchi,08.07.2016 to 07.07.2022,22,15,7
65,Deepak Prakash,Jharkhand,Ranchi,22.06.2020 to 21.06.2026,22,2,20
66,Samir Oraon,Jharkhand,Gumla,04.05.2018 to 03.05.2024,22,7.5,14.5
67,Shbu Soren,Jharkhand,Gumla,22.06.2020 to 21.06.2026,22,2,20
68,Jairam Ramesh,Karnataka,Chikmagalur,01.07.2016 to 30.06.2022,19.5,10,9.5
69,G.C Chandrashekhar,Karnataka,Bengaluru Urban,03.04.2018 to 02.04.2024,22,10,12
70,H.D. Devegowda,Karnataka,Hassan,26.06.2020 to 25.06.2026,22,2,20
71,Iranna Kadadi,Karnataka,Belagavi,26.06.2020 to 25.06.2026,22,2,20
72,K.C Ramamurthy,Karnataka,Bengaluru Urban,05.12.2019 to 30.06.2022,7,2.5,4.5
73,L. HANUMANTHAIAH,Karnataka,Bengaluru Urban,03.04.2018 to 02.04.2024,22,7.5,14.5
74,Narayana Koragappa,Karnataka,Bengaluru Urban,26.11.2020 to 25.11.2026,22,2,20
75,Rajeev Chandrashekhar,Karnataka,Bengaluru Urban,03.04.2018 to 02.04.2024,22,7.5,14.5
76,Syed Nasir Hussain,Karnataka,Ballari,03.04.2018 to 02.04.2024,22,5,17
77,Nirmala Sitharaman,Karnataka,Bengaluru Urban,01.07.2016 to 30.06.2022,19.5,17.5,2
78,Mallikarjun Kharge,Karnataka,Gulbarga,26.06.2020 to 25.06.2026,22,0,22
79,V. Sivadasan,Kerala,Kannur,24.04.2021 to 23.04.2027,27,2,25
80,A.K. Antony,Kerala,Alappuzha,03.04.2016 to 02.04.2022,22,17.5,4.5
81,Abdul Wahab,Kerala,Malappuram,24.04.2021 to 23.04.2027,27,2,25
82,Binoy Viswam,Kerala,Thiruvananthapuram,02.07.2018 to 01.07.2024,22,20,2
