Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
339,West Bengal,Shri. Dinesh Trivedi,NA,0,0,0
340,West Bengal,Santanu Sen,Kolkata,12,9.98,8.2
341,West Bengal,Miss. Dola Sen,Kolkata,17,15.85,13.94
342,West Bengal,Shri. Jawahar Sircar,Kolkata,2,1.96,2
343,West Bengal,Md. Nadimul Haque,Kolkata,10,13.31,12.31
344,West Bengal,Subhasish Chakrobarty,Kolkata,10,9.76,8.49
345,West Bengal,Shanta Chhetri,Kolkata,17,14.95,13.98
346,West Bengal,Shri. Subrata Bakshi,Kolkata,2,1.77,1.04
347,West Bengal,Smt Mausam Noor,Kolkata,0,0,0
348,West Bengal,Sukhendu Sekhar Ray,Kolkata,12.5,12.49,10.66
349,West Bengal,Abhishek Manu Singhvi,Howrah,7.5,9.7,3.02
350,West Bengal,Smt Arpita Ghosh,NA,0,0,0
Total,Total,Total,Total,"3,276.92",3637.53,2625.42
1,Nominated,SHRI. Ranjan Gogoi,Kamrup Metropolitan,2,0,0
2,Nominated,Raghunath Mohapatra,Khordha,5,4.59,1.21
3,Nominated,Shri Gulam Ali,Jammu,2.5,0,0
4,Nominated,Dr Sonal Mansingh,Dang,9.5,8.15,6.2
5,Nominated,SHRI. Mahesh Jethmalani,Commissioner North Delhi Municipal Corporation,2,2.45,0.04
6,Nominated,Smt Roopa Ganguly,Commissioner South Delhi Municipal Corporation,5,14.99,5.43
7,Nominated,SHRI. Shambhaji Shahu Chhatrapati,Kolhapur,15,17.38,16.86
8,Nominated,Ram Shakal,Mirzapur,12,10.47,7.61
9,Nominated,Shri V. Vijayendra Prasad,East Godavari,2.5,0,0
10,Nominated,Shri Ilaiyaraaja,NA,0,0,0
11,Nominated,Smt M.C Mary Kom,Churachandpur,17.5,26.08,19.39
12,Nominated,Shri Dharmasthala Veerendra Heggade,Dakshin Kannad,2.5,0,0
13,Nominated,Smt. P.T. Usha,Kozhikode,2.5,0,0
14,Nominated,Dr Subramonian Swamy,Mumbai Suburban,17.5,26.83,14.13
15,Nominated,Sh. Rakesh Sinha,Begusarai,9.5,9.4,8.66
16,Nominated,SHRI. Swapan Dasgupta,Kolkata,20,23.11,21.21
17,Nominated,SHRI. Suresh Gopi,Thiruvananthapuram,17.5,23.31,14.23
18,Nominated,Shri Narendra Jadav,Nashik,15,22.88,16.66
19,Nominated,SHRI. Swapan Das Gupta,Kolkata,2,0,0
Total,Total,Total,Total,159.5,189.63,131.63
Grand Total,Grand Total,Grand Total,Grand Total,3436.42,3827.16,2757.05
