Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
78,Haryana,Shri. Deepender Singh,Rohtak,2,3.46,0.53
79,Haryana,Shri. Dushyant Gautam,Panipat,2,0,0
80,Haryana,Dr Subhash Chandra,Hissar,17.5,19.7,12.71
81,Haryana,Devender Paul Vats,Hissar,12,13.64,8.42
82,Himachal Pradesh,Smt Indu Bala Goswami,Kangra,4.5,1.9,1.61
83,Himachal Pradesh,Anand Sharma,Shimla,17.5,14.12,14.27
84,Himachal Pradesh,Jagat Prakash Nadda,Bilaspur,14.5,14.24,14.48
85,Himachal Pradesh,Dr Sikander Kumar,Shimla,5,2.88,0.05
86,Jammu and Kashmir,Mir Mohammad Fayaz,Kupwara,22.5,30.18,23.51
87,Jammu and Kashmir,Ghulam Nabi Azad,Doda,17.5,20.44,17.17
88,Jammu and Kashmir,Shri Nazir Ahmed Laway,Kulgam,22.5,23.69,21.29
89,Jammu and Kashmir,Shamsher Singh Manhas,Jammu,25,25.61,22.6
90,Jharkhand,Shri. Shibu Soren,Dumka,2,0.4,0.04
91,Jharkhand,Smt. Mahua Maji,Ranchi,2.5,2.64,1.86
92,Jharkhand,Shri. Deepak Prakash,Ranchi,2,1.88,0.49
93,Jharkhand,Mahesh Poddar,Ranchi,19.5,24.13,19.57
94,Jharkhand,Dhiraj Prasad Sahu,Lohardaga,10,7.41,6.84
95,Jharkhand,Mukhtar Abbas Naqvi,Ranchi,17.5,14.7,14.4
96,Jharkhand,Samiroraon,Gumla,12,10.51,8.18
97,Jharkhand,Shri Aditya Prasad,Ranchi,2.5,2.51,2.21
98,Karnataka,Shri. Iranna Kadadi,Belagavi,2,3.5,2.53
99,Karnataka,Shri Oscar Fernandes,Udupi,68.5,79.67,69.78
100,Karnataka,Shri Jairam Ramesh,Chikmagalur,0,0,0
101,Karnataka,Shri Jaggesh,Tumakuru,2.5,2.3,0.05
102,Karnataka,Shri. Mallikarjun Kharge,Gulbarga,2,0,0
103,Karnataka,L. Hanumanthaiah,Bengaluru Urban,12,12.43,9.35
104,Karnataka,G.c Chandrashekhar,Bengaluru Urban,10,12.14,11.47
105,Karnataka,Shri Lahar Singh Siroya,Bengaluru Urban,2.5,0,0
106,Karnataka,Shri. H.D. Devegowda,Hassan,4.5,6.23,2.48
107,Karnataka,Shri. Ashok Gasti,Raichur,0,0,0
108,Karnataka,Shri. Narayana Koragappa,Bengaluru Urban,2,0.69,0.49
109,Karnataka,Shri. K.C Ramamurthy,Bengaluru Urban,4.5,6.55,1.92
110,Karnataka,Sh. Jairam Ramesh,Chikmagalur,10,11.39,9.66
111,Karnataka,Syed Nasir Hussain,Ballari,7.5,5.36,4.74
112,Karnataka,Rajeev Chandrashekhar,Bengaluru Urban,10,9.85,7.53
113,Karnataka,Smt Nirmala Sitharaman,Bengaluru Urban,19.5,22.19,21.14
114,Karnataka,Smt. Nirmala Sitharaman,Bengaluru Urban,2.5,0,0
115,Kerala,Shri. Jose K. Mani,Kottayam,2,4.66,0.04
116,Kerala,Shri. Abdul Wahab,Malappuram,22.5,27.46,20.03
117,Kerala,Shri. Binoy Viswam,Thiruvananthapuram,7.5,17.19,4.15
118,Kerala,Shri Jose K Mani,Kottayam,5,10.41,3.06
119,Kerala,Shri. K. Somaprasad,Kollam,17.5,31,16.05
120,Kerala,Shri. Sandosh Kumar P,Kannur,2.5,2.91,0.05
121,Kerala,Smt Jebi Mather Hisham,Alappuzha,2.5,2.54,0.05
122,Kerala,Shri. John Brittas,Thiruvananthapuram,2,7.61,0.55
123,Kerala,Sh. Elamaram Kareem,Kozhikode,9.5,12.42,5.35
124,Kerala,Shri. Abdul Wahab,Malappuram,2,0.4,0.04
125,Kerala,Shri. K.K Ragesh,Kannur,22.5,40.29,20.69
126,Kerala,M P Veerendra Kumar,Wayanad,7.5,8.08,3.77
127,Kerala,Shri Vayalar Ravi,Alappuzha,53.5,68.44,55.92
128,Kerala,Shri. A.A. Rahim,Thiruvananthapuram,2.5,2.31,0.05
129,Kerala,Shri A.K. Antony,Alappuzha,54.5,69.54,54.79
130,Kerala,Shri. M.V.shreyams Kumar,Wayanad,2,2.15,0.18
131,Kerala,Dr V. Sivadasan,Kannur,2,1.1,0.04
132,Madhya Pradesh,Dr Sumer Singh Solanki,Badwani,2,0,0
133,Madhya Pradesh,Shri. M.J. Akbar,Bhopal,22,23.59,20.38
134,Madhya Pradesh,Shri Vivek K. Tankha,Jabalpur,2.5,2.35,1.24
135,Madhya Pradesh,Smt Sampatiya Uikey,Mandla,29.5,45.87,28.71
136,Madhya Pradesh,Shri. Jyotiraditya M. Scindia,Ashok Nagar,2,0,0
137,Madhya Pradesh,Ajay Pratap Singh,Singrauli,12,8.58,7.64
138,Madhya Pradesh,Thawar Chand,Ujjain,10,14.72,10.43
139,Madhya Pradesh,Shri. Vivek K. Tankha,Jabalpur,22,25.14,22.38
140,Madhya Pradesh,Rajmani Patel,Rewa,14.5,15.34,13.74
141,Madhya Pradesh,Smt. Sumitra Balmik,Jabalpur,5,2.36,1.73
142,Madhya Pradesh,Shri. Digvijay Singh,Bhopal,7,5.19,4.79
143,Madhya Pradesh,Kailash Soni,Narsinghpur,14.5,12.62,12.46
144,Madhya Pradesh,Sh. L. Murugan,Chhindwara,2,0,0.04
145,Madhya Pradesh,Dharmendra Pradhan,Sehore,7.5,4.44,4.59
146,Madhya Pradesh,Ms. Kavita Patidar,Indore,5,2.42,0.43
147,Madhya Pradesh,Smt. Sulata Deo,NA,0,0,0
148,Maharashtra,Shri Praful Patel,Gondia,2.5,0,0
149,Maharashtra,Shri Imran Pratapgarhi,Mumbai City,2.5,0,0
150,Maharashtra,Prakash Javadekar,Pune,5,7.2,2.4
151,Maharashtra,Sh. Praful Patel,Gondia,15.13,17.12,10.34
